loan_amnt,term,installment,emp_length,dti,open_acc,revol_util,total_acc,mort_acc,log_annual_inc,fico_score,log_revol_bal,charged_off
18150,36,711.99,10,29.91,11,71.4,15,0,4.60207084855429,697,4.23396013849477,0
5000,36,171.65,10,37.92,8,36.3,19,0,4.47713573096112,697,3.50406288267869,0
10000,60,249.28,1,24.19,8,75.8,22,2,4.65322216465659,692,4.58151730942581,0
11700,36,417.96,2,12.2,6,47,12,2,4.79239869419147,682,3.58103894877216,0
22125,36,856.34,2,6.58,7,38.4,9,0,5.21748657629369,727,3.78830981210705,1
21875,36,789.3,9,7.01,8,47.9,28,1,4.78498083531812,697,4.26557246174311,0
10000,36,329.48,3,5.64,7,63.3,22,1,5.04139663327193,662,4.15769847927551,0
28000,36,978.74,4,4.33,9,60.8,18,2,5.69897087292411,692,4.08087891034181,1
7000,36,244.69,10,12.29,7,32,32,3,4.51852710011733,672,3.54912592675811,0
11175,60,302.26,3,19,12,30.2,28,4,4.88649636532393,697,3.70260284134042,1
8000,36,272.11,10,29.62,8,86,34,6,4.69897869013879,702,4.42337696191906,0
35000,60,927.1,0,32.38,24,33.7,55,0,4.96379254791209,722,4.86902038992565,1
30000,36,996.29,5,19.79,22,27.8,40,7,5.11394669302077,737,4.20022102619187,0
25000,60,561.06,10,5.11,15,23.9,31,7,5.0000043429231,807,4.23631048243233,0
14000,60,365.02,10,12.87,5,61.4,22,3,4.93952424448052,667,3.92813970687511,1
3000,36,102.99,10,10.83,7,28,33,2,4.65322216465659,732,3.36604920980023,0
6600,36,255.45,7,6.5,7,49.8,9,0,4.74037058568576,682,3.53122337453302,0
5000,36,174.78,3,20.1,16,41.9,35,0,4.77815848856469,667,4.26192867299064,0
18150,36,634.44,6,6.08,3,69.5,16,0,4.68125028508304,687,3.90265547521792,0
29450,60,878.79,5,9.38,15,75,23,1,5.17609415434257,662,4.05682865263781,0
5600,36,185.98,5,8.94,4,59.1,10,1,4.67210709814554,687,3.58455736052567,0
16000,36,562.44,6,21.93,6,82.6,23,0,4.60207084855429,667,3.63306427269149,0
20000,36,801.24,10,21.25,22,64.5,39,5,4.89210017053276,672,4.7490634882475,1
25000,60,719.06,10,16.25,6,37.5,11,0,4.90309541563903,687,3.31449922797315,1
30000,60,782.19,3,9,13,40.7,34,1,5.0000043429231,682,3.94230575289589,1
20000,36,707.99,4,23.11,22,4.7,29,1,4.92942403503108,757,3.68115074993242,0
30000,60,890.6,4,33.12,8,52.2,17,0,5.0000043429231,672,4.13084818310285,0
25000,36,842.23,7,15.74,10,46.3,21,2,4.98227575691685,717,4.36468229564967,0
35000,36,1201.5,10,14.56,8,80.9,17,0,5.35218444830477,692,4.67115432229963,0
8950,36,322.94,3,17.99,5,18.1,8,0,4.69897869013879,692,2.82607480270082,0
10000,36,351.53,5,12.06,13,78.3,28,0,5.07918486515322,677,4.23613401681543,0
6500,36,218.98,8,14.18,9,61.4,17,7,4.63347855533382,697,3.52087638168834,1
35000,36,1287.22,3,9.74,23,67.2,39,2,5.54406928518988,662,4.72922960492785,0
9800,36,339.68,4,9.52,13,78.3,21,0,4.60850463923339,687,3.6647359685187,0
35000,60,912.55,3,10.86,16,57.3,42,5,5.39794174584649,742,5.17064302283611,1
35000,36,1250.29,9,0.38,3,7,15,4,5.17609415434257,682,3.41713940972732,1
10000,60,241.01,0,14.79,13,23.3,25,1,4.82931020677569,692,3.66114985724478,0
15000,36,519.91,10,2.08,6,16.3,26,1,5.0000043429231,662,3.15198239545747,0
35000,60,1049.17,6,16.62,5,80.9,11,3,4.84510424417682,697,4.3935927501669,1
24000,60,662.72,3,21.86,10,72.6,21,0,4.75588247480709,692,4.321722674346,1
27200,36,990.73,4,17.15,5,83.9,6,0,4.74037058568576,662,3.15442397311464,0
35000,60,872.48,2,1.69,5,33.8,23,7,5.43000567904987,682,3.65021035466035,1
24650,36,954.07,10,11.3,12,48.9,20,0,4.81292003804502,677,3.99264186987839,1
12000,36,421.83,2,8.4,6,20.3,27,0,4.74037058568576,732,3.77807886193745,0
12175,60,308.24,10,25.97,11,37.4,18,4,4.71443873889445,777,4.42642992519392,0
30000,36,1054.57,2,11.49,9,85.4,29,6,4.90309541563903,697,4.62406541033669,1
18000,36,637.19,1,20.53,11,36.7,15,0,4.56821346159708,687,3.87238938841782,0
12000,60,281.16,10,13.94,15,32.5,35,0,5.04139663327193,717,3.80188370712524,1
12000,36,411.95,2,3.37,4,66.9,14,2,5.0000043429231,682,3.5066403055665,0
19225,60,576.29,4,1.61,10,80,14,3,5.95424299198848,667,3.72296280894248,1
10000,60,224.43,10,8.54,7,68.6,15,0,5.30103216713096,682,4.42373724998232,0
8200,36,325.99,5,22,8,64.4,12,0,4.47713573096112,697,3.91301868374796,0
4000,36,136.06,7,25.01,10,37,18,0,4.65322216465659,707,4.02288181333203,0
7800,36,284.11,1,7.99,11,3.8,14,1,4.69897869013879,732,2.42488163663106,0
11875,60,314.55,10,21.24,21,14.8,47,2,4.51852710011733,707,3.96009006790491,0
6500,36,227.21,10,10.25,6,78.7,22,0,4.67898247099692,717,3.99299509843134,0
35000,60,912.55,10,29.02,13,20,34,4,5.02119343518816,722,3.41796964221473,0
14975,36,591.46,2,24.22,16,56.2,28,0,4.69897869013879,667,4.17490256217832,0
6000,36,218.55,0,18.86,12,54.4,22,0,5.07918486515322,692,4.13694241277536,1
35000,36,1300.55,10,1.33,12,9,31,0,5.89209515947792,667,3.06069784035361,1
12000,36,415.93,10,26.31,20,51.4,32,3,4.74037058568576,682,4.29112454661221,1
18000,60,455.72,10,13.09,7,68,24,3,4.77815848856469,707,3.9496826907952,1
13400,36,497.93,10,38.43,9,40.7,44,4,4.90309541563903,692,4.0421027680373,0
9600,36,337.47,1,8.05,7,50.9,17,0,4.50809857717807,672,3.56383691866454,0
10000,36,343.29,2,34.53,16,49.8,24,1,4.97772817678564,687,4.11680691596234,0
3800,36,130.45,5,27.8,8,50.5,29,4,4.85733852825718,662,3.68069802969763,0
35000,36,1300.55,2,10.75,7,36,23,0,4.89763258865415,687,3.94713951764282,1
5000,36,173.31,10,12.76,9,87.2,34,8,5.1461311377706,682,4.03031630598858,0
5000,36,171.65,10,18.23,5,42.3,12,2,4.63347855533382,662,3.98641340546546,0
27450,60,805.54,9,26.31,8,71.7,14,0,4.74037058568576,707,4.24664627489071,1
9000,36,321.51,10,8.48,5,36.3,6,0,4.87506705394618,677,3.56062387454993,0
11175,36,420.97,10,24.92,8,80.9,8,1,4.54408045258678,697,3.83733586801501,0
5025,36,181.32,10,9.65,10,69.2,27,0,4.87506705394618,662,3.69134676413482,0
18050,60,508.74,10,8.6,11,33.4,15,0,5.27875588670724,722,4.2406740276203,0
22000,36,773.35,4,0.58,4,3.4,5,0,4.89210017053276,787,2.76042248342321,0
11175,36,449.6,3,32.6,14,80,15,0,4.39795738010388,672,3.74186039406526,1
8400,36,280.57,6,7.95,6,71.3,9,0,5.04139663327193,677,3.81244540287275,0
30000,36,1048.65,5,16.19,22,34.5,38,1,5.36172972425036,717,4.24819403794085,0
10000,36,343.29,10,29.99,23,61.1,44,0,4.92428445620351,667,4.53892545030358,0
35000,36,1262.88,7,8.78,8,77.6,13,1,5.20412269698795,672,4.45091082602872,0
12000,60,299.14,2,3.74,2,43.6,23,7,5.00860442953008,682,3.52022143588196,0
3000,36,100.21,0,11.17,5,0.7,16,1,4.71601169537145,817,1.61278385671973,0
13500,36,533.2,2,14.43,10,44.7,14,0,4.65322216465659,662,2.85491302230785,0
10000,36,336.9,6,7.11,12,35.3,19,0,5.17609415434257,707,4.18460626668713,0
12000,60,294.96,10,15.42,4,73.2,7,0,4.71601169537145,667,4.22634208716363,1
16025,36,603.67,5,16.17,10,88.7,16,1,4.67336193871216,662,4.12126430522958,1
34875,60,1045.42,8,5.99,7,57.9,12,1,5.17609415434257,667,4.04399066587813,0
13750,36,550.86,3,23.12,6,72.8,14,0,4.66276727276334,677,3.88739221897184,1
12000,60,291.76,0,31.75,19,58.3,35,0,4.78675851840264,677,4.35148709044971,0
10000,36,314.25,10,4.76,5,53,11,1,5.27875588670724,717,3.95496573105842,0
4000,36,154.82,4,11.22,6,3.4,16,2,4.77815848856469,697,2.54157924394658,0
9625,36,362.58,0,5.29,12,25.7,26,1,4.65322216465659,677,3.68574173860226,0
25725,60,670.73,7,6.11,13,1.3,21,0,5.44404635812563,782,2.72916478969277,0
4800,36,166.38,10,23.34,22,56.1,34,0,5.08990864227449,662,4.44463803050157,0
35000,36,1238.98,7,13.88,6,73.3,14,0,4.99749996769722,702,4.47385177015481,0
7725,36,278.74,NaN,0.98,4,13.8,6,1,4.77815848856469,792,2.75434833571101,0
8450,36,299.13,7,13.74,8,0.8,32,0,4.89210017053276,687,1.61278385671973,1
10000,36,381.86,3,14.94,6,65.4,7,0,4.49137570310773,677,3.63498080005122,0
6000,36,212.4,1,16.09,9,89.8,22,3,5.0000043429231,682,4.06073560344931,0
5000,36,174.78,10,18.03,9,89.8,45,2,4.69897869013879,692,4.36664705139085,1
15000,36,487.47,10,0.7,4,28.5,7,2,5.30103216713096,707,3.37912414607039,1
35000,60,850.95,4,17.59,14,51.4,27,7,5.12221915595466,697,4.57154579523833,1
20000,60,498.56,3,4.74,12,31.7,45,12,5.11394669302077,672,4.1316828094614,0
20000,36,693.21,10,9.54,9,78,20,1,5.07918486515322,662,4.08539762201696,1
12000,60,289.21,1,18.27,11,46,23,0,4.69897869013879,692,4.07903645708749,1
8000,36,291.4,2,17.46,12,48.1,26,1,4.74037058568576,672,3.44575983648863,1
7000,36,260.11,2,34.16,8,44.8,13,0,4.47713573096112,702,3.29490691060519,0
4800,36,169.92,2,11.78,10,74.5,27,0,4.84510424417682,672,3.96553094362286,0
18000,36,597.78,8,16.69,17,57.5,20,0,4.92942403503108,672,4.27023616583701,0
10950,36,412.49,0,21.15,7,50.8,17,0,4.69897869013879,662,3.35964579267454,1
23600,60,685.8,2,7.99,8,11.7,14,0,5.30103216713096,757,3.06370855939141,0
17000,60,498.88,1,6.59,5,75.6,6,0,4.69897869013879,682,3.63427569462594,0
4800,36,167.79,4,19.1,8,29.9,19,0,4.69020494309076,667,3.8885725968576,0
10000,36,332.1,10,10.65,12,39.6,28,3,4.81955051571144,697,4.00290006861138,1
20150,60,545.02,4,8.14,10,38,12,0,4.84510424417682,707,3.7499680835094,1
14975,36,545.45,10,10.64,20,7.2,41,0,4.47713573096112,717,3.61405310598721,1
7500,36,265.5,8,10.26,4,84,17,0,4.90309541563903,697,3.47596158919242,0
9600,36,339.84,2,17.07,9,50.6,12,1,4.97772817678564,667,3.38596357060069,0
24000,36,797.03,2,21.91,23,48.4,56,1,4.87506705394618,702,4.59371793091953,0
6950,36,255.61,6,1.92,5,82,6,1,5.07918486515322,662,3.63012264285931,0
35000,36,1262.88,10,4.4,18,4.1,43,5,5.65321347887312,737,5.48667837394603,0
20000,36,664.2,7,21.22,13,30.3,30,5,4.79239869419147,702,4.24824308305462,1
11625,36,406.36,3,17.52,10,46.4,32,2,4.77815848856469,677,3.79056662514607,0
7000,36,244.69,10,0.65,4,18.5,13,2,5.12057722130309,692,3.54270096944811,0
9700,36,339.07,5,17.7,7,32.6,17,1,4.77812229645304,682,3.08134730780413,0
2000,36,75.34,7,12.99,8,65.6,11,3,4.71601169537145,672,3.8258154449852,1
6000,36,210.92,10,23.56,4,63.8,14,0,4.54408045258678,697,4.42841019199733,0
6000,36,189.88,7,9.78,8,74.2,17,4,4.60207084855429,682,3.91603261018856,0
9100,36,347.49,2,33.91,6,74.1,6,0,4.48745796649853,687,3.82878874818495,1
6000,36,212.4,10,15.4,15,30.9,26,2,4.47713573096112,702,3.65118106244468,1
20000,36,680.26,2,5.55,17,18.8,29,0,5.30103216713096,772,4.05188537888987,0
12000,60,331.36,10,15.42,7,41,23,3,4.99123050724623,672,3.6925825622749,1
18500,36,667.53,5,9.34,7,45.4,14,1,4.84510424417682,677,3.96142109406644,0
4800,36,171.47,10,24.82,7,81.9,12,0,4.52523922372974,662,4.14382639083956,0
35000,36,1120.99,4,1.12,11,4.5,21,1,5.0000043429231,797,3.45101845215545,0
35000,36,1250.29,10,13.02,10,18.6,32,6,5.17609415434257,732,3.87028682899259,0
35000,36,1262.88,10,10.76,13,88.1,22,6,5.11394669302077,677,4.57830677300432,0
9000,36,284.82,0,20.02,15,97.4,20,1,4.84510424417682,682,3.96194288314138,0
24975,60,746.14,3,8.17,8,46.3,10,0,5.04139663327193,662,3.81763146719051,1
18000,60,507.33,1,27.25,18,45,35,1,4.90309541563903,672,4.06299540118646,1
20000,36,686.57,6,37.38,18,68.7,41,0,5.0000043429231,692,4.6207604899942,0
15000,36,494.22,3,10.36,8,58.7,25,2,4.83246420362009,692,4.06785166051235,0
14700,36,530.41,5,23.13,35,35.2,73,4,5.02119343518816,677,4.16295252934572,0
20000,36,664.2,3,6.41,15,37.9,24,0,5.03543374088022,747,4.00825941499127,0
24450,36,899.21,2,5.79,11,54.7,21,0,4.90309541563903,687,4.09611017508459,0
2000,36,65.9,5,6.6,7,5.9,16,0,4.74819578219556,777,3.10754912974468,0
15000,60,346.39,3,13.36,13,59,30,0,4.94448760728669,692,4.16172726971602,0
8000,36,267.21,NaN,25.35,6,76.5,25,3,4.68125028508304,682,4.19351417502866,0
23000,36,782.3,4,8.89,9,37.3,32,2,5.2671740759344,677,3.76522136630498,0
11125,36,409.15,4,37.04,11,29.3,31,3,4.76343548133428,692,3.29358351349611,1
22250,36,763.81,10,23.29,7,72.5,19,2,4.79239869419147,712,4.467918733281,0
5000,36,167.01,6,16.99,9,61.6,19,0,4.71601169537145,677,4.01494034979293,1
16425,60,490.13,2,12.58,10,60.1,24,2,4.85733852825718,662,3.86870320227853,0
15000,36,514.93,9,7.42,7,71.4,18,0,5.34242465488354,722,4.08418291142047,0
15000,36,505.34,2,15.83,7,33.4,26,0,5.04922190028217,667,3.27253777737523,0
15000,36,510.2,10,19.24,3,81.1,13,0,4.54408045258678,682,3.633367445117,0
16200,60,422.38,NaN,10.4,18,45.6,35,5,4.65322216465659,717,4.3090549851864,0
25000,36,842.23,10,10.27,9,24.9,39,4,5.39794174584649,667,3.2706788361447,0
35000,36,1250.29,10,9.55,17,39.2,33,2,5.47712270236552,712,4.56838948649184,0
30300,36,1050.22,10,15.13,19,61,44,8,5.17609415434257,702,4.82063488059438,0
11000,36,367.41,10,7.44,10,54.2,19,3,4.77815848856469,677,3.82736927305382,0
23325,36,878.66,5,23.13,5,38.7,6,0,4.68914008205527,662,3.98560608305243,0
6000,36,217.64,4,21.64,8,72,12,0,4.47713573096112,662,3.89872518158949,0
8400,36,308.94,0,26.86,10,61.1,15,2,4.62325963061961,662,3.72550326885931,0
25000,36,860.41,10,11.97,14,53.7,25,1,4.90309541563903,712,4.38100671929657,1
4200,36,163.53,6,24.48,6,25.6,17,1,4.47713573096112,717,3.20112389720737,1
25475,36,1023.7,1,21.35,12,37.5,20,0,4.92942403503108,712,3.83922657401343,0
5175,36,194.95,2,5.64,6,49.5,6,0,4.95424733490676,682,3.22634208716363,0
18000,36,635.41,6,18.22,7,61.3,17,0,4.69897869013879,697,4.34639209831732,0
3000,36,106.95,5,18.07,10,40.9,12,2,4.74037058568576,712,4.03969166164902,1
16000,36,546.69,10,22.11,12,45.5,15,3,4.95424733490676,727,4.28985640270925,0
9600,36,330.4,10,10.01,7,56.3,18,0,4.76343548133428,662,3.8745977687032,0
13300,36,508.97,10,20.83,8,75.1,12,0,4.61910377027246,662,3.87151455870838,1
3000,36,102.51,5,13.55,9,48.2,14,0,4.65322216465659,677,4.08834875228852,0
10000,36,344.17,5,19.91,14,50.3,17,0,4.83885538481457,677,4.10482840365365,0
6000,36,215.63,6,6.93,10,21.6,28,3,4.84510424417682,667,3.33545790068938,0
5000,36,181.37,4,17.23,7,32.6,20,1,4.55631456433534,667,3.38810120157051,0
24925,36,844.03,10,18.08,6,78.5,18,2,4.84510424417682,697,5.02938783649317,0
9000,36,339.03,5,21.52,7,76.2,8,0,4.65322216465659,682,4.14665507334097,0
10000,36,341.68,10,22.06,24,14.8,40,3,4.69897869013879,727,3.9798669225649,0
10000,36,341.68,8,5.16,4,56.4,11,0,4.47713573096112,677,3.59028440371816,0
13675,36,496.04,2,12.86,6,60,17,0,4.77815848856469,677,3.7073146335887,1
2500,36,86.66,NaN,14.56,4,4,26,1,4.7324018022389,692,2.4329692908744,0
6000,36,211.81,10,28.67,27,76.7,57,4,5.04139663327193,677,4.37482163847199,1
4800,36,174.11,0,8.82,5,80,16,2,4.71601169537145,687,4.03478883125118,0
8000,36,255.04,8,10.56,12,31.6,34,1,4.92942403503108,692,3.97409700379413,0
30000,36,1117.97,2,13.72,5,70.5,15,0,5.0000043429231,667,3.82626921939372,0
10000,60,248.48,5,21.3,11,72.3,27,1,4.87506705394618,672,4.16666688336361,1
8000,36,277.29,3,13.2,15,35.5,28,0,4.60207084855429,677,3.95822931418838,0
18550,36,684.86,10,8.25,12,89.7,19,1,5.11394669302077,672,4.02853058651132,1
4800,36,165.2,1,27.46,11,36.6,20,3,4.89210017053276,717,3.5633624094866,0
25000,36,898.43,7,23.94,10,86.5,21,1,5.00860442953008,667,4.4749879809588,0
35000,36,1304.3,2,10.72,9,66.2,18,2,5.07555061091065,687,4.47798897625089,0
35000,36,1282.79,9,10.66,4,10.9,7,3,4.98227575691685,777,3.63397315578967,0
8300,36,298.28,2,28.85,19,87.3,37,2,4.69897869013879,677,3.53313628827863,0
15000,36,529.51,8,6.67,23,32.2,33,0,5.27416015933456,687,3.77342072329061,1
10000,36,341.68,10,26.52,14,81.5,32,0,4.77815848856469,672,4.33457437175492,0
21550,36,768.21,0,4.68,5,14.6,12,0,4.77815848856469,662,3.56702636615906,0
25075,36,976.28,9,3.84,8,67.7,12,0,4.81955051571144,702,3.78993308093175,0
5000,36,161.69,10,16.93,9,46.2,23,3,4.65322216465659,737,3.71775369321071,0
17000,36,623.07,8,28.53,8,60.7,10,0,4.54408045258678,672,4.12778487636217,1
20000,36,677.26,1,22.93,4,80.2,16,5,4.79934744296207,667,4.23261498313478,1
12000,60,359.22,4,16.3,7,69.6,10,2,4.81292003804502,692,3.94992644366791,1
10800,36,381.25,8,11.26,20,35.8,22,0,4.72428406375899,687,4.22429992607982,1
14000,60,367.19,2,1.95,7,39.8,30,9,5.24304053036195,682,3.46908529912312,0
28000,60,734.38,10,16.86,9,43.7,27,4,5.0000043429231,677,4.20325052394329,1
35000,36,1292.19,10,9.08,21,18.3,28,0,5.17609415434257,727,4.10920719632006,0
30000,36,1048.95,3,26.58,16,88.9,26,3,5.06070161681094,687,5.40587375116859,0
6925,36,253.81,6,14.22,6,19.5,16,0,4.60207084855429,692,3.39410130204004,0
15550,36,538.97,4,6.28,12,8.2,27,0,4.59107574263968,727,3.5762261374496,0
20000,60,510.49,1,13.62,14,65.3,35,0,5.07918486515322,667,4.14535181655846,0
9300,36,350.34,2,14.77,7,45.3,8,0,4.81292003804502,697,3.68511446904653,0
20000,36,668.98,10,28.87,10,73.5,21,3,4.74037058568576,692,4.25358028956218,0
20600,60,540.29,8,17.85,10,48.1,17,1,4.85733852825718,697,4.00039068924991,1
20000,36,683.36,10,9.55,6,52.7,26,4,5.0000043429231,712,3.93130528142167,0
21000,36,717.53,10,19.8,7,137.8,12,1,5.0000043429231,702,4.61109636733174,0
25000,36,882.51,6,12.79,12,81.8,19,1,4.98227575691685,677,4.59606902445157,0
6800,36,234.03,10,20.78,11,27.2,25,4,4.89210017053276,747,3.45651785780526,0
35000,36,1235.52,10,5.99,7,47.6,16,5,5.54406928518988,712,4.1985471250645,0
20000,36,661.14,0,33.83,12,50.4,25,0,4.77815848856469,722,4.06043340670274,0
19475,60,580.79,4,9.97,14,51,18,0,4.81292003804502,672,4.27932466544261,1
10000,36,346.61,10,20.96,14,24.8,32,6,4.79239869419147,667,3.8701111553644,0
7000,36,249.54,10,2.62,8,43.6,12,0,4.77815848856469,677,3.38774565960886,0
10000,60,288.15,0,8.19,19,70.1,29,0,4.60207084855429,677,3.74904026870345,1
21075,36,846.89,5,28.23,16,31.3,24,0,5.06818957364894,677,3.82223348023884,1
6725,36,257.36,3,20.85,7,71.1,10,0,4.54408045258678,692,4.01346923230917,0
8000,36,275.33,6,18.19,16,71,16,0,4.81292003804502,667,4.0608488730388,0
25000,36,916.28,10,3.19,7,54.7,20,5,5.17609415434257,707,4.61748262266063,1
